Project Name,Transacted Price ($),Area (SQFT),Street Name,Type of Sale,Type of Area,Property Type,Number of Units,Postal District,Market Segment,Data_Source,Year,Month,start_floor,end_floor,is_freehold,lease_duration_years,lease_commencement_year,remaining_lease_years,lease_age_at_sale,lease_maturity_ratio,lease_category_encoded,is_peak_season,is_november,quarter,month_sin,month_cos
RESIDENTIAL APARTMENTS,1270000.0,1280.92,KIM KEAT ROAD,Resale,Strata,Apartment,1.0,12.0,Rest of Central Region,train,23,5,1,5,1,9999,0,9999,0,0.0,0,0,0,2,0.49999999999999994,-0.8660254037844387
THE FLORENCE RESIDENCES,1780000.0,1001.05,HOUGANG AVENUE 2,Sub Sale,Strata,Apartment,1.0,19.0,Outside Central Region,train,23,3,6,10,0,99,2018,94,5,0.050505050505050504,1,0,0,1,1.0,6.123233995736766e-17
PARC OASIS,1630000.0,1377.79,JURONG EAST AVENUE 1,Resale,Strata,Condominium,1.0,22.0,Outside Central Region,train,24,1,11,15,0,99,1991,66,33,0.3333333333333333,2,0,0,1,0.49999999999999994,0.8660254037844387
TREE HOUSE,1380000.0,1151.75,CHESTNUT AVENUE,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,21,5,11,15,0,99,2009,87,12,0.12121212121212122,1,0,0,2,0.49999999999999994,-0.8660254037844387
THE FLORENCE RESIDENCES,1855000.0,1097.93,HOUGANG AVENUE 2,New Sale,Strata,Apartment,1.0,19.0,Outside Central Region,train,22,4,16,20,0,99,2018,95,4,0.04040404040404041,1,0,0,2,0.8660254037844387,-0.49999999999999983
PARC CLEMATIS,3356000.0,1926.76,JALAN LEMPENG,New Sale,Strata,Apartment,1.0,5.0,Outside Central Region,train,22,4,21,25,0,99,2019,96,3,0.030303030303030304,1,0,0,2,0.8660254037844387,-0.49999999999999983
SEA ESTA,1020000.0,979.52,PASIR RIS LINK,Resale,Strata,Condominium,1.0,18.0,Outside Central Region,train,21,7,1,5,0,99,2012,90,9,0.09090909090909091,1,0,0,3,-0.4999999999999998,-0.8660254037844388
HAZEL PARK CONDOMINIUM,1330000.0,979.52,HAZEL PARK TERRACE,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,21,10,1,5,0,999,1882,860,139,0.13913913913913914,1,1,0,4,-0.8660254037844386,0.5000000000000001
PARC VERA,2720000.0,3950.39,HOUGANG STREET 32,Resale,Strata,Condominium,1.0,19.0,Outside Central Region,train,21,5,16,20,0,99,2010,88,11,0.1111111111111111,1,0,0,2,0.49999999999999994,-0.8660254037844387
CUSCADEN RESERVE,2404860.0,753.48,CUSCADEN ROAD,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,24,10,21,25,0,99,2018,93,6,0.06060606060606061,1,1,0,4,-0.8660254037844386,0.5000000000000001
NORMANTON PARK,1332240.0,731.95,NORMANTON PARK,New Sale,Strata,Apartment,1.0,5.0,Rest of Central Region,train,21,1,11,15,0,99,2019,97,2,0.020202020202020204,1,0,0,1,0.49999999999999994,0.8660254037844387
AMO RESIDENCE,2298000.0,1044.11,ANG MO KIO RISE,New Sale,Strata,Apartment,1.0,20.0,Outside Central Region,train,22,7,21,25,0,99,2021,98,1,0.010101010101010102,1,0,0,3,-0.4999999999999998,-0.8660254037844388
WILSHIRE RESIDENCES,1931000.0,742.72,FARRER ROAD,New Sale,Strata,Apartment,1.0,10.0,Core Central Region,train,22,10,1,5,1,9999,0,9999,0,0.0,0,1,0,4,-0.8660254037844386,0.5000000000000001
PARC CLEMATIS,2750000.0,1711.48,JALAN LEMPENG,New Sale,Strata,Apartment,1.0,5.0,Outside Central Region,train,20,10,21,25,0,99,2019,98,1,0.010101010101010102,1,1,0,4,-0.8660254037844386,0.5000000000000001
BLOSSOMS BY THE PARK,1655000.0,721.19,SLIM BARRACKS RISE,New Sale,Strata,Apartment,1.0,5.0,Rest of Central Region,train,23,4,6,10,0,99,2022,98,1,0.010101010101010102,1,0,0,2,0.8660254037844387,-0.49999999999999983
SEASONS PARK,1600000.0,1959.05,YIO CHU KANG ROAD,Resale,Strata,Condominium,1.0,26.0,Outside Central Region,train,21,1,11,15,0,99,1995,73,26,0.26262626262626265,2,0,0,1,0.49999999999999994,0.8660254037844387
THE LAKESHORE,1280000.0,947.23,JURONG WEST STREET 41,Resale,Strata,Condominium,1.0,22.0,Outside Central Region,train,23,4,16,20,0,99,2002,78,21,0.21212121212121213,2,0,0,2,0.8660254037844387,-0.49999999999999983
SPANISH VILLAGE,3280000.0,1668.42,FARRER ROAD,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,22,6,1,5,1,9999,0,9999,0,0.0,0,0,0,2,1.2246467991473532e-16,-1.0
HOLLANDSWOOD COURT,2000000.0,2131.27,HOLLAND PARK,Resale,Strata,Apartment,1.0,10.0,Core Central Region,train,23,1,1,5,0,99,1975,51,48,0.48484848484848486,3,0,0,1,0.49999999999999994,0.8660254037844387
STURDEE RESIDENCES,1130000.0,656.6,BEATTY ROAD,Sub Sale,Strata,Condominium,1.0,8.0,Rest of Central Region,train,21,5,1,5,0,99,2015,93,6,0.06060606060606061,1,0,0,2,0.49999999999999994,-0.8660254037844387
NV RESIDENCES,950000.0,1087.16,PASIR RIS GROVE,Resale,Strata,Condominium,1.0,18.0,Outside Central Region,train,20,9,6,10,0,99,2008,87,12,0.12121212121212122,1,0,0,3,-1.0,-1.8369701987210297e-16
J'DEN,3374000.0,1485.43,JURONG EAST CENTRAL 1,New Sale,Strata,Apartment,1.0,22.0,Outside Central Region,train,23,11,1,5,0,99,2023,99,0,0.0,1,1,1,4,-0.5000000000000004,0.8660254037844384
