Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
EMERALD OF KATONG,678.13,Nov-24,JALAN TEMBUSU,New Sale,Strata,63.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,16 to 20,1871000
TRE RESIDENCES,861.12,Apr-24,GEYLANG EAST AVENUE 1,Resale,Strata,80,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15,1538000
BOATHOUSE RESIDENCES,914.94,Oct-23,UPPER SERANGOON VIEW,Resale,Strata,85.0,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1245000
CAIRNHILL NINE,"3,864.28",Jun-21,CAIRNHILL ROAD,Resale,Strata,359,Apartment,1,99 yrs lease commencing from 2014,9,Core Central Region,26 to 30,7400000
UNION SQUARE RESIDENCES,731.95,Nov-24,HAVELOCK ROAD,New Sale,Strata,68.0,Apartment,1,99 yrs lease commencing from 2024,1,Rest of Central Region,16 to 20,2282000
SENGKANG GRAND RESIDENCES,678.13,Dec-20,COMPASSVALE BOW,New Sale,Strata,63,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1184800
JADESCAPE,"1,259.39",Sep-20,SHUNFU ROAD,New Sale,Strata,117,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05,2168800
MIRAGE TOWER,"1,227.1",Sep-20,KIM SENG ROAD,Resale,Strata,114,Condominium,1,Freehold,9,Core Central Region,16 to 20,1750000
ONE LEICESTER,"1,205.57",Jan-24,LEICESTER ROAD,Resale,Strata,112,Condominium,1,Freehold,13,Rest of Central Region,06 to 10,2088000
GRAND CHATEAU,"1,237.86",Mar-24,JALAN RAJAWALI,Resale,Strata,115,Condominium,1,Freehold,21,Rest of Central Region,06 to 10,1780000
COTE D'AZUR,"1,539.25",Aug-21,MARINE PARADE ROAD,Resale,Strata,143,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20,2585000
SINGA HILLS,667.37,Jan-23,JALAN SINGA,Resale,Strata,62,Apartment,1,Freehold,14,Outside Central Region,01 to 05,955000
TERRASSE,"1,108.69",Aug-24,TERRASSE LANE,Resale,Strata,103.0,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05,1730000
CARABELLE,"1,399.32",Nov-20,WEST COAST WAY,Resale,Strata,130,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10,1860000
THE M,527.44,Sep-21,MIDDLE ROAD,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,11 to 15,1404000
THE COSMOPOLITAN,"1,679.18",Apr-21,KIM SENG ROAD,Resale,Strata,156,Condominium,1,Freehold,9,Core Central Region,11 to 15,4028000
MANDARIN GARDENS,"1,786.82",Aug-24,SIGLAP ROAD,Resale,Strata,166.0,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10,2050000
NORMANTON PARK,731.95,Apr-21,NORMANTON PARK,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,1355664
VERDALE,570.49,Feb-22,DE SOUZA AVENUE,New Sale,Strata,53,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,1046200
SOUTHBANK,958,Oct-23,NORTH BRIDGE ROAD,Resale,Strata,89.0,Apartment,1,99 yrs lease commencing from 2006,7,Rest of Central Region,11 to 15,1730000
WATERTOWN,570.49,Apr-22,PUNGGOL CENTRAL,Resale,Strata,53,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,900000
JEWEL @ BUANGKOK,"1,130.22",Oct-21,COMPASSVALE BOW,Resale,Strata,105,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10,1500000
8 @ MOUNT SOPHIA,861.12,Dec-22,MOUNT SOPHIA,Resale,Strata,80,Condominium,1,103 yrs lease commencing from 2002,9,Core Central Region,06 to 10,1365000
77 @ EAST COAST,624.31,Apr-22,UPPER EAST COAST ROAD,New Sale,Strata,58,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1083000
THE HACIENDA,"1,894.46",Jul-23,HACIENDA GROVE,Resale,Strata,176.0,Condominium,1,Freehold,15,Outside Central Region,01 to 05,3050000
THE VERANDAH RESIDENCES,"1,097.93",Dec-21,PASIR PANJANG ROAD,Sub Sale,Strata,102,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,2039888
EASTPOINT GREEN,958,Nov-22,SIMEI STREET 3,Resale,Strata,89,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05,980000
THE CONTINUUM,667.37,Nov-23,THIAM SIEW AVENUE,New Sale,Strata,62.0,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1776000
THE COMMODORE,"1,668.42",Apr-22,CANBERRA DRIVE,New Sale,Strata,155,Condominium,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05,2556000
D'LEEDON,"1,291.68",Sep-22,LEEDON HEIGHTS,Resale,Strata,120,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,31 to 35,2320000
URBAN VISTA,613.55,May-24,TANAH MERAH KECHIL LINK,Resale,Strata,57,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10,905000
AFFINITY AT SERANGOON,"1,076.4",Jan-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,100,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1988888
RIVIERE,818.06,Oct-20,JIAK KIM STREET,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,01 to 05,2007550
THE TANAMERA,"1,517.72",Jan-23,TANAH MERAH KECHIL ROAD,Resale,Strata,141,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,06 to 10,1530000
ECO,581.26,Jan-22,BEDOK SOUTH AVENUE 3,Resale,Strata,54,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10,790000
PICCADILLY GRAND,818.06,Aug-22,NORTHUMBERLAND ROAD,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,21 to 25,1736000
PAPILLON,"1,786.82",May-24,JALAN RAMA RAMA,Resale,Strata,166,Apartment,1,Freehold,12,Rest of Central Region,16 to 20,2470000
THE QUAYSIDE,"1,313.21",Feb-23,ROBERTSON QUAY,Resale,Strata,122,Apartment,1,99 yrs lease commencing from 1994,9,Core Central Region,06 to 10,2298000
THE SANTORINI,462.85,Sep-20,TAMPINES STREET 86,Resale,Strata,43,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15,598000
HYLL ON HOLLAND,656.6,Jun-21,HOLLAND ROAD,New Sale,Strata,61,Condominium,1,Freehold,10,Core Central Region,01 to 05,1521300
VILLA MARINA,"2,012.87",Apr-21,JALAN SEMPADAN,Resale,Strata,187,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05,1900000
KI RESIDENCES AT BROOKVALE,"1,313.21",Oct-23,BROOKVALE DRIVE,New Sale,Strata,122.0,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,11 to 15,2778685
THE ARCADY AT BOON KENG,"1,194.8",Jan-24,SAINT BARNABAS LANE,New Sale,Strata,111,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,2929000
MARTIN MODERN,764.24,Aug-20,MARTIN PLACE,New Sale,Strata,71,Condominium,1,99 yrs lease commencing from 2016,9,Core Central Region,21 to 25,2047000
JADESCAPE,527.44,Sep-20,SHUNFU ROAD,New Sale,Strata,49,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05,904000
THE RESERVE RESIDENCES,947.23,Jun-23,JALAN ANAK BUKIT,New Sale,Strata,88.0,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,26 to 30,2363357
BALESTIER POINT,"1,313.21",Sep-21,BALESTIER ROAD,Resale,Strata,122,Apartment,1,Freehold,12,Rest of Central Region,11 to 15,1420000
SUNGLADE,"1,044.11",Feb-22,SERANGOON AVENUE 2,Resale,Strata,97,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15,1370000
FULCRUM,"1,097.93",Nov-21,FORT ROAD,Resale,Strata,102,Condominium,1,Freehold,15,Rest of Central Region,21 to 25,2050000
NORTHVALE,"1,054.87",Apr-22,CHOA CHU KANG LOOP,Resale,Strata,98,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05,835000
PARC OLYMPIA,861.12,Sep-21,FLORA DRIVE,Resale,Strata,80,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,760000
FORETT@BUKIT TIMAH,"1,033.34",Aug-22,TOH TUCK ROAD,New Sale,Strata,96,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,2291000
QUESTA @ DUNMAN,893.41,Jul-21,DUNMAN ROAD,Resale,Strata,83,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1200000
LENTOR MANSION,"1,022.58",Jul-24,LENTOR GARDENS,New Sale,Strata,95,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05,2268000
FOURTH AVENUE RESIDENCES,688.9,Jun-21,FOURTH AVENUE,New Sale,Strata,64,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05,1598000
TRIBECA,"1,367.03",May-23,KIM SENG ROAD,Resale,Strata,127,Condominium,1,Freehold,9,Core Central Region,11 to 15,3370000
NOUVELLE PARK,"1,194.8",Jul-21,POH HUAT ROAD WEST,Resale,Strata,111,Condominium,1,Freehold,19,Outside Central Region,06 to 10,1350000
CHANTILLY RISE,"1,539.25",Jan-24,HILLVIEW AVENUE,Resale,Strata,143,Condominium,1,Freehold,23,Outside Central Region,06 to 10,1880000
NV RESIDENCES,"1,453.14",Oct-22,PASIR RIS GROVE,Resale,Strata,135,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10,1700000
CLAVON,527.44,Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,11 to 15,852000
MARINA BAY RESIDENCES,710.42,Jan-21,MARINA BOULEVARD,Resale,Strata,66,Condominium,1,99 yrs lease commencing from 2005,1,Core Central Region,36 to 40,1410000
TEMBUSU GRAND,527.44,Apr-23,JALAN TEMBUSU,New Sale,Strata,49,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,1314000
1953,613.55,Mar-22,TESSENSOHN ROAD,New Sale,Strata,57,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1260000
TOH TUCK LODGE,"2,454.19",Feb-22,TOH TUCK ROAD,Resale,Strata,228,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,2160000
PASIR RIS 8,"1,539.25",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,143,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10,2456000
WEST BAY CONDOMINIUM,"1,442.38",Jun-24,WEST COAST CRESCENT,Resale,Strata,134,Condominium,1,99 yrs lease commencing from 1991,5,Outside Central Region,01 to 05,1613800
TREASURE AT TAMPINES,"1,323.97",Nov-21,TAMPINES LANE,New Sale,Strata,123,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1920000
PARC VERA,871.88,Jul-24,HOUGANG STREET 32,Resale,Strata,81,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10,1245000
ROSEWOOD,"1,173.28",May-21,ROSEWOOD DRIVE,Resale,Strata,109,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10,880000
SENNETT RESIDENCE,"1,194.8",Mar-21,PHENG GECK AVENUE,Resale,Strata,111,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,01 to 05,1780000
THE HILLIER,624.31,Sep-23,HILLVIEW RISE,Resale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10,920000
RIVIERE,"1,140.98",Nov-22,JIAK KIM STREET,New Sale,Strata,106,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,3320000
ONE JERVOIS,"1,496.2",Apr-21,JERVOIS CLOSE,Resale,Strata,139,Condominium,1,Freehold,10,Core Central Region,01 to 05,2750000
VIVACE,419.8,Sep-22,TONG WATT ROAD,Resale,Strata,39,Apartment,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,870000
BEDOK RESIDENCES,850.36,May-21,BEDOK NORTH DRIVE,Resale,Strata,79,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,11 to 15,1400000
THE BOTANY AT DAIRY FARM,"1,033.34",Jun-24,DAIRY FARM WALK,New Sale,Strata,96,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,11 to 15,2198000
RIVIERE,818.06,Apr-22,JIAK KIM STREET,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,21 to 25,2307000
VERDALE,559.73,Aug-21,DE SOUZA AVENUE,New Sale,Strata,52,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,985800
PULLMAN RESIDENCES NEWTON,"1,162.51",Sep-20,DUNEARN ROAD,New Sale,Strata,108,Apartment,1,Freehold,11,Core Central Region,01 to 05,3100000
LEEDON RESIDENCE,"1,044.11",Mar-22,LEEDON HEIGHTS,Resale,Strata,97,Condominium,1,Freehold,10,Core Central Region,01 to 05,2680000
DAKOTA RESIDENCES,"1,313.21",Nov-24,DAKOTA CRESCENT,Resale,Strata,122.0,Condominium,1,99 yrs lease commencing from 2007,14,Rest of Central Region,06 to 10,2475000
STELLAR RV,538.2,Nov-20,RIVER VALLEY ROAD,Resale,Strata,50,Apartment,1,Freehold,10,Core Central Region,06 to 10,950000
BAYSHORE PARK,936.47,Mar-21,BAYSHORE ROAD,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05,905000
KATONG REGENCY,936.47,Jan-22,TANJONG KATONG ROAD,Resale,Strata,87,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1780000
PALM GARDENS,"1,205.57",May-24,HONG SAN WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,11 to 15,1280000
IRWELL HILL RESIDENCES,"1,582.31",Jun-22,IRWELL HILL,New Sale,Strata,147,Apartment,1,99 yrs lease commencing from 2020,9,Core Central Region,11 to 15,4255000
WATERFRONT GOLD,893.41,Dec-22,BEDOK RESERVOIR ROAD,Resale,Strata,83,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10,1260000
WEST BAY CONDOMINIUM,"1,216.33",Nov-23,WEST COAST CRESCENT,Resale,Strata,113.0,Condominium,1,99 yrs lease commencing from 1991,5,Outside Central Region,01 to 05,1338000
THE ARTE,"1,625.36",Jul-21,JALAN RAJA UDANG,Resale,Strata,151,Condominium,1,Freehold,12,Rest of Central Region,26 to 30,2500000
THE GARDENS AT BISHAN,"1,205.57",Sep-20,SIN MING WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15,1420000
THE LAKEGARDEN RESIDENCES,925.7,Jun-24,YUAN CHING ROAD,New Sale,Strata,86,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,1961600
BOTANNIA,"1,270.15",Mar-22,WEST COAST PARK,Resale,Strata,118,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10,1850000
URBANA,"1,313.21",Aug-21,RIVER VALLEY CLOSE,Resale,Strata,122,Condominium,1,Freehold,9,Core Central Region,31 to 35,2800000
CARABELLE,882.65,Apr-23,WEST COAST WAY,Resale,Strata,82,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,01 to 05,1430000
RIVERSOUND RESIDENCE,"1,162.51",Dec-24,SENGKANG EAST AVENUE,Resale,Strata,108.0,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1660000
TWIN REGENCY,"1,227.1",Mar-21,KIM TIAN ROAD,Resale,Strata,114,Condominium,1,Freehold,3,Rest of Central Region,16 to 20,2050000
RIVIERE,559.73,Jan-21,JIAK KIM STREET,New Sale,Strata,52,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1550760
LEEDON GREEN,710.42,Feb-23,LEEDON HEIGHTS,New Sale,Strata,66,Condominium,1,Freehold,10,Core Central Region,11 to 15,2016000
COMMONWEALTH TOWERS,688.9,Oct-22,COMMONWEALTH AVENUE,Resale,Strata,64,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15,1340000
THE ORCHARD RESIDENCES,"2,174.33",May-24,ORCHARD BOULEVARD,Resale,Strata,202,Apartment,1,99 yrs lease commencing from 2006,9,Core Central Region,11 to 15,5688888
HILLBROOKS,"1,334.74",Jan-21,HILLVIEW AVENUE,Resale,Strata,124,Condominium,1,Freehold,23,Outside Central Region,06 to 10,1470000
CANNINGHILL PIERS,818.06,Nov-21,CLARKE QUAY,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,36 to 40,2408000
J'DEN,"1,140.98",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30,2739000
THE POIZ RESIDENCES,592.02,Oct-21,MEYAPPA CHETTIAR ROAD,Resale,Strata,55,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,16 to 20,850000
STIRLING RESIDENCES,882.65,May-23,STIRLING ROAD,Resale,Strata,82,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,16 to 20,2040000
NORMANTON PARK,527.44,Jan-21,NORMANTON PARK,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,917723
RIVIERE,839.59,Nov-21,JIAK KIM STREET,New Sale,Strata,78,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,11 to 15,2305000
SYMPHONY SUITES,"1,022.58",Jan-23,YISHUN CLOSE,Resale,Strata,95,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15,1280000
THE ALPS RESIDENCES,505.91,Feb-21,TAMPINES STREET 86,Sub Sale,Strata,47,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,06 to 10,650000
RIVIERE,"1,140.98",May-22,JIAK KIM STREET,New Sale,Strata,106,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,3130000
THE WISTERIA,893.41,Apr-23,YISHUN RING ROAD,Resale,Strata,83,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15,1185000
CASA AL MARE,785.77,Mar-21,JALAN LOYANG BESAR,New Sale,Strata,73,Apartment,1,Freehold,17,Outside Central Region,01 to 05,1293000
RIVERBANK @ FERNVALE,"1,011.82",Oct-21,FERNVALE CLOSE,Resale,Strata,94,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15,1212000
ORANGE GROVE RESIDENCES,"2,378.84",May-22,ORANGE GROVE ROAD,Resale,Strata,221,Condominium,1,Freehold,10,Core Central Region,01 to 05,5200000
COSTA DEL SOL,"1,474.67",Jan-23,BAYSHORE ROAD,Resale,Strata,137,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10,2450000
SENGKANG GRAND RESIDENCES,936.47,May-21,COMPASSVALE BOW,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1563600
AMBER PARK,"1,302.44",Mar-22,AMBER GARDENS,New Sale,Strata,121,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3203000
LE QUEST,936.47,Jul-23,BUKIT BATOK STREET 41,Resale,Strata,87.0,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15,1580888
URBAN VISTA,624.31,Sep-20,TANAH MERAH KECHIL LINK,Resale,Strata,58,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15,870000
PARKVIEW APARTMENTS,936.47,May-21,BUKIT BATOK STREET 25,Resale,Strata,87,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,11 to 15,728000
KENT RIDGE HILL RESIDENCES,947.23,Jan-21,SOUTH BUONA VISTA ROAD,New Sale,Strata,88,Apartment,1,99 yrs lease commencing from 2018,5,Rest of Central Region,01 to 05,1744000
SIGNATURE PARK,"1,054.87",Jun-22,TOH TUCK ROAD,Resale,Strata,98,Condominium,1,Freehold,21,Rest of Central Region,06 to 10,1600000
MYRA,871.88,Aug-21,MEYAPPA CHETTIAR ROAD,New Sale,Strata,81,Apartment,1,Freehold,13,Rest of Central Region,11 to 15,1926800
SELETARIS,"1,614.6",Nov-21,SEMBAWANG ROAD,Resale,Strata,150,Condominium,1,Freehold,27,Outside Central Region,01 to 05,1550000
AMBER SKYE,990.29,Oct-24,AMBER ROAD,Resale,Strata,92.0,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,2338000
SUITES @ EASTCOAST,"1,130.22",Nov-21,UPPER EAST COAST ROAD,Resale,Strata,105,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1141000
MAYSPRINGS,"1,313.21",Sep-22,PETIR ROAD,Resale,Strata,122,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10,1188000
TRILIVE,624.31,May-24,TAMPINES ROAD,Resale,Strata,58,Condominium,1,Freehold,19,Outside Central Region,11 to 15,1128000
ESPIRA SPRING,"1,959.05",Nov-20,LORONG G TELOK KURAU,Resale,Strata,182,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1868000
THE INSPIRA,936.47,Nov-21,ARNASALAM CHETTY ROAD,Resale,Strata,87,Condominium,1,Freehold,9,Core Central Region,06 to 10,1950000
FLAMINGO VALLEY,990.29,Feb-22,SIGLAP ROAD,Resale,Strata,92,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1680000
NORMANTON PARK,635.08,Jan-21,NORMANTON PARK,New Sale,Strata,59,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,1124026
THE TESSARINA,"1,614.6",Jun-22,WILBY ROAD,Resale,Strata,150,Condominium,1,Freehold,10,Core Central Region,01 to 05,3120000
MIDWOOD,"1,248.62",Aug-21,HILLVIEW RISE,New Sale,Strata,116,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,16 to 20,2026000
VIENTO,430.56,Apr-24,LORONG 30 GEYLANG,Resale,Strata,40,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,702000
VIVA VISTA,796.54,May-22,SOUTH BUONA VISTA ROAD,Resale,Strata,74,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,925000
LENTOR MANSION,527.44,Mar-24,LENTOR GARDENS,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,16 to 20,1257000
MIDWOOD,699.66,Jul-21,HILLVIEW RISE,New Sale,Strata,65,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,1177000
REGENT PARK,"1,194.8",Sep-24,JALAN LEMPENG,Resale,Strata,111.0,Condominium,1,99 yrs lease commencing from 1993,5,Outside Central Region,06 to 10,1810000
KI RESIDENCES AT BROOKVALE,"2,238.91",Dec-20,BROOKVALE DRIVE,New Sale,Strata,208,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,11 to 15,3994000
GOLDENHILL PARK CONDOMINIUM,"1,334.74",Feb-23,MEI HWAN DRIVE,Resale,Strata,124,Condominium,1,Freehold,20,Outside Central Region,01 to 05,2450000
ROYALGREEN,979.52,Nov-21,ANAMALAI AVENUE,New Sale,Strata,91,Condominium,1,Freehold,10,Core Central Region,01 to 05,2695000
PULLMAN RESIDENCES NEWTON,"1,162.51",Apr-22,DUNEARN ROAD,New Sale,Strata,108,Apartment,1,Freehold,11,Core Central Region,01 to 05,3172000
EIGHT RIVERSUITES,"1,194.8",Jul-21,WHAMPOA EAST,Resale,Strata,111,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25,1728000
YISHUN EMERALD,"1,334.74",Aug-21,CANBERRA DRIVE,Resale,Strata,124,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05,1068000
MIDTOWN MODERN,904.18,Dec-22,TAN QUEE LAN STREET,New Sale,Strata,84,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,26 to 30,2820510
THE MAKENA,"1,636.13",Dec-24,MEYER ROAD,Resale,Strata,152.0,Condominium,1,Freehold,15,Rest of Central Region,21 to 25,3525000
KI RESIDENCES AT BROOKVALE,"1,194.8",Mar-24,BROOKVALE DRIVE,New Sale,Strata,111,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,11 to 15,2395520
MIDWOOD,484.38,May-21,HILLVIEW RISE,New Sale,Strata,45,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,817000
PARC CLEMATIS,"1,216.33",Jan-22,JALAN LEMPENG,New Sale,Strata,113,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,21 to 25,1710000
FORETT@BUKIT TIMAH,731.95,Aug-20,TOH TUCK ROAD,New Sale,Strata,68,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1427000
KASSIA,656.6,Jul-24,FLORA DRIVE,New Sale,Strata,61,Condominium,1,Freehold,17,Outside Central Region,01 to 05,1304000
HILLTOPS,"2,389.61",Oct-20,CAIRNHILL CIRCLE,Resale,Strata,222,Condominium,1,Freehold,9,Core Central Region,06 to 10,7532000
JADESCAPE,775.01,Jul-22,SHUNFU ROAD,Sub Sale,Strata,72,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25,1585000
THE RESERVE RESIDENCES,441.32,May-23,JALAN ANAK BUKIT,New Sale,Strata,41,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,11 to 15,1180982
NORWOOD GRAND,624.31,Oct-24,CHAMPIONS WAY,New Sale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,1335000
SENGKANG GRAND RESIDENCES,936.47,Nov-21,COMPASSVALE BOW,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,1617040
LE QUEST,936.47,Jan-24,BUKIT BATOK STREET 41,Resale,Strata,87,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10,1538000
THE HILLIER,839.59,May-23,HILLVIEW RISE,Resale,Strata,78,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15,1340000
THE PALETTE,721.19,Oct-20,PASIR RIS GROVE,Resale,Strata,67,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15,795000
PARC CENTROS,462.85,Nov-21,PUNGGOL CENTRAL,Resale,Strata,43,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05,640000
THOMSON THREE,"1,044.11",Nov-23,BRIGHT HILL DRIVE,Resale,Strata,97.0,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,11 to 15,2120000
CARISSA PARK CONDOMINIUM,"1,302.44",Mar-22,FLORA DRIVE,Resale,Strata,121,Condominium,1,Freehold,17,Outside Central Region,06 to 10,1425888
CHUAN PARK,"1,033.34",Nov-24,LORONG CHUAN,New Sale,Strata,96.0,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,11 to 15,2637514
THE ELEMENT @ STEVENS,"1,388.56",Nov-21,STEVENS ROAD,Resale,Strata,129,Apartment,1,Freehold,10,Core Central Region,01 to 05,2480000
