Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
REFLECTIONS AT KEPPEL BAY,"1,851.41",Sep-20,KEPPEL BAY VIEW,Resale,Strata,172,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,01 to 05,3230000
DAIRY FARM RESIDENCES,936.47,Oct-21,DAIRY FARM LANE,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,1567600
ALESSANDREA,"1,097.93",Jan-22,ALEXANDRA ROAD,Resale,Strata,102,Apartment,1,Freehold,3,Rest of Central Region,01 to 05,1700000
ROYALGREEN,"1,431.61",Jan-21,ANAMALAI AVENUE,New Sale,Strata,133,Condominium,1,Freehold,10,Core Central Region,01 to 05,3960000
NORMANTON PARK,"1,087.16",Jun-22,NORMANTON PARK,New Sale,Strata,101,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,2029000
THE GERANIUM,656.6,Apr-22,MANGIS ROAD,Resale,Strata,61,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,785000
SYMPHONY HEIGHTS,"1,345.5",May-21,HUME AVENUE,Resale,Strata,125,Condominium,1,Freehold,21,Outside Central Region,06 to 10,1718000
THE ANTARES,882.65,Nov-21,MATTAR ROAD,New Sale,Strata,82,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15,1708000
WOODHAVEN,635.08,Jan-21,WOODGROVE AVENUE,Resale,Strata,59,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,650000
MIRAGE TOWER,"1,496.2",Mar-24,KIM SENG ROAD,Resale,Strata,139,Condominium,1,Freehold,9,Core Central Region,11 to 15,3330000
WILSHIRE RESIDENCES,753.48,Feb-23,FARRER ROAD,New Sale,Strata,70,Apartment,1,Freehold,10,Core Central Region,06 to 10,2095000
DAIRY FARM RESIDENCES,"1,001.05",Dec-20,DAIRY FARM LANE,New Sale,Strata,93,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05,1580300
TREASURE AT TAMPINES,"1,011.82",Aug-20,TAMPINES LANE,New Sale,Strata,94,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,1350000
